Battery,Cycle,RMSE_Shepherd_mV,RMSE_Poly_mV,RMSE_MLP_mV,MAE_Shepherd_mV,MAE_Poly_mV,MAE_MLP_mV
RW6,23,72.58840676070199,36.582009960053476,38.1004331630674,56.96000779075237,29.354858535570433,30.33444946899792
RW6,24,70.56239595146513,29.09296436420306,29.12510991544736,58.93190135681524,23.008364702050667,23.282335606840274
RW6,25,68.76332006058651,26.61913929250778,28.567823165038995,48.52156837145473,20.825448762665786,22.1113453196835
RW6,26,69.06082468583998,34.64584809335647,34.02836187289314,53.104860106618936,28.49153374195175,28.309463450334327
RW6,27,70.80208201897317,27.56395657267881,24.636750927796715,47.23285878248268,20.77085015641342,18.451870978446443
RW6,28,108.19462811682354,32.43118786382008,34.385570511614866,98.79323687439461,28.25050717832241,29.509396776262825
RW6,29,98.97890033167215,30.162165195427413,31.43493211657005,78.14298163277016,22.88675780239121,24.24185454823149
RW6,30,97.61537259924246,30.954429424178873,33.075797187804184,86.05164715850181,28.01902152661168,28.717058310549138
RW6,31,71.17439061160388,22.60134248137239,24.98712289252345,52.15887340717502,16.92628524760341,20.39207828338679
RW6,32,72.8524423933055,29.79860493556304,29.888827265152454,61.00020473575469,22.402877719327208,24.12321501481827
RW6,33,93.11459703110961,38.52302251539219,34.1072713778928,77.45074525446773,30.417392151395504,25.44120472166634
RW6,34,113.81515801797791,29.791265202926706,31.223167035840703,98.70677472713625,24.861200628757675,25.452483638241084
RW6,35,82.63808362409792,25.934624040807865,31.5393894995086,64.65798176432894,19.429235140351608,25.269913490749342
RW6,36,91.03867238332329,33.394798124448165,34.316921608349986,71.69236668045195,26.628033186059696,28.33100389484132
RW6,37,105.98553536188702,32.5454817166842,31.115052713278278,92.45866005279842,23.960594027550627,21.91101444960231
RW6,38,88.60270321669502,32.139884597323665,27.287426460954183,74.82204675418423,25.10860912307736,20.614359383698204
RW6,39,82.71455891443898,29.870503821973298,29.273195393923444,59.885496065807025,21.578323072269423,22.78082530153123
RW6,40,70.31374865255366,24.76160205283147,23.020370876518943,51.57235530766822,19.44762623370374,18.505095443486432
RW6,41,101.4793645912753,30.71214160625096,30.438236681470727,72.96516270093701,24.582566328795053,24.70038324436395
RW6,42,94.79980629959371,36.621731136569075,45.81023682272971,73.76404379456578,33.12782961225957,39.51921110621348
RW6,43,75.47696570412695,25.7415276648416,23.06022066482763,54.00349434252652,20.36024716966558,18.673911870837735
RW6,44,89.84384932382727,25.35244236233037,24.94918118053794,62.66249789370939,19.619487047514955,20.359669181122694
RW6,45,111.27204286928804,32.21194871879801,29.987149341767893,88.85196883430864,24.664359892009983,22.680268900060458
RW6,46,109.07962109335598,33.87944074736203,34.2630750073909,81.36752225686493,24.3351060834546,25.41883148237803
RW6,47,87.95305453600119,22.27053832265254,24.154558090641714,69.87230534424499,15.670950206104862,17.3973100921941
RW6,48,89.35506263578733,25.982098547662613,25.08871340153931,55.54103177672821,18.608196610825868,19.822094527808773
RW6,49,93.26916161343148,25.9604158586736,23.166639213836415,67.70579057358364,19.22628509374569,15.332702187715064
